,Date,Ticker,Close,Sector,Close_z
248,2024-12-26,AAPL,259.0199890136719,Information Technology,1.9936359715766165
249,2024-12-27,AAPL,255.58999633789065,Information Technology,1.8517355266393307
250,2024-12-30,AAPL,252.1999969482422,Information Technology,1.711489623164134
251,2024-12-31,AAPL,250.4199981689453,Information Technology,1.6378502184640866
252,2025-01-02,AAPL,243.8500061035156,Information Technology,1.3660464901641205
253,2025-01-03,AAPL,243.3600006103516,Information Technology,1.3457747274887526
254,2025-01-06,AAPL,245.0,Information Technology,1.4136222901763267
255,2025-01-07,AAPL,242.2100067138672,Information Technology,1.2981989274765464
256,2025-01-08,AAPL,242.6999969482422,Information Technology,1.318470058888482
257,2025-01-10,AAPL,236.8500061035156,Information Technology,1.0764531270136397
258,2025-01-13,AAPL,234.3999938964844,Information Technology,0.9750949449002263
259,2025-01-14,AAPL,233.27999877929688,Information Technology,0.9287602088004473
260,2025-01-15,AAPL,237.8699951171875,Information Technology,1.118650562563038
261,2025-01-16,AAPL,228.25999450683597,Information Technology,0.7210802201873421
262,2025-01-17,AAPL,229.97999572753903,Information Technology,0.7922374970625325
263,2025-01-21,AAPL,222.63999938964844,Information Technology,0.4885783220622541
264,2025-01-22,AAPL,223.8300018310547,Information Technology,0.5378092947999853
265,2025-01-23,AAPL,223.66000366210935,Information Technology,0.5307763888750846
266,2025-01-24,AAPL,222.77999877929688,Information Technology,0.49437016407472634
267,2025-01-27,AAPL,229.8600006103516,Information Technology,0.7872732414128257
268,2025-01-28,AAPL,238.25999450683597,Information Technology,1.1347850246880287
269,2025-01-29,AAPL,239.3600006103516,Information Technology,1.180292805688478
270,2025-01-30,AAPL,237.58999633789065,Information Technology,1.1070668785380948
271,2025-01-31,AAPL,236.0,Information Technology,1.0412879661257088
272,2025-02-03,AAPL,228.00999450683597,Information Technology,0.7107376000748249
273,2025-02-04,AAPL,232.8000030517578,Information Technology,0.908902554938176
274,2025-02-05,AAPL,232.47000122070312,Information Technology,0.8952502206380412
275,2025-02-06,AAPL,233.22000122070312,Information Technology,0.9262780809755927
276,2025-02-07,AAPL,227.6300048828125,Information Technology,0.6950172467629332
277,2025-02-10,AAPL,227.6499938964844,Information Technology,0.6958442018622628
278,2025-02-11,AAPL,232.6199951171875,Information Technology,0.9014555402001776
279,2025-02-12,AAPL,236.8699951171875,Information Technology,1.0772800821129696
280,2025-02-13,AAPL,241.52999877929688,Information Technology,1.2700666725135137
281,2025-02-14,AAPL,244.6000061035156,Information Technology,1.3970743505016718
282,2025-02-18,AAPL,244.47000122070312,Information Technology,1.3916959860388651
283,2025-02-19,AAPL,244.8699951171875,Information Technology,1.4082439257135186
284,2025-02-20,AAPL,245.8300018310547,Information Technology,1.447959864701496
285,2025-02-21,AAPL,245.5500030517578,Information Technology,1.4363761806765514
286,2025-02-24,AAPL,247.1000061035156,Information Technology,1.5005005516268435
287,2025-02-25,AAPL,247.0399932861328,Information Technology,1.4980177925385556
288,2025-02-26,AAPL,240.3600006103516,Information Technology,1.2216632861385468
289,2025-02-27,AAPL,237.3000030517578,Information Technology,1.0950697169634849
290,2025-02-28,AAPL,241.83999633789065,Information Technology,1.2828914204508866
291,2025-03-03,AAPL,238.02999877929688,Information Technology,1.1252699909382735
292,2025-03-04,AAPL,235.92999267578125,Information Technology,1.0383917294877554
293,2025-03-05,AAPL,235.7400054931641,Information Technology,1.0305318684635285
294,2025-03-06,AAPL,235.3300018310547,Information Technology,1.013569819975775
295,2025-03-07,AAPL,239.07000732421875,Information Technology,1.168295644113868
296,2025-03-10,AAPL,227.47999572753903,Information Technology,0.6888112959373609
297,2025-03-11,AAPL,220.83999633789065,Information Technology,0.41411133099944475
298,2025-03-12,AAPL,216.97999572753903,Information Technology,0.25442125121164
299,2025-03-13,AAPL,209.67999267578125,Information Technology,-0.047583382326546984
300,2025-03-14,AAPL,213.4900054931641,Information Technology,0.11003867844950085
301,2025-03-17,AAPL,214.0,Information Technology,0.13113739622419823
302,2025-03-18,AAPL,212.69000244140625,Information Technology,0.07694216783675784
303,2025-03-19,AAPL,215.2400054931641,Information Technology,0.18243701923712102
304,2025-03-20,AAPL,214.1000061035156,Information Technology,0.13527469677457776
305,2025-03-21,AAPL,218.2700042724609,Information Technology,0.30778952449975194
306,2025-03-24,AAPL,220.72999572753903,Information Technology,0.40956055289939747
307,2025-03-25,AAPL,223.75,Information Technology,0.5344995806123677
308,2025-03-26,AAPL,221.52999877929688,Information Technology,0.4426570635121405
309,2025-03-27,AAPL,223.8500061035156,Information Technology,0.5386368811627472
310,2025-03-28,AAPL,217.8999938964844,Information Technology,0.29248201747409336
311,2025-03-31,AAPL,222.1300048828125,Information Technology,0.46747960428755553
312,2025-04-01,AAPL,223.19000244140625,Information Technology,0.5113322125624787
313,2025-04-02,AAPL,223.88999938964844,Information Technology,0.5402914226248399
314,2025-04-03,AAPL,203.19000244140625,Information Technology,-0.31607739643889443
315,2025-04-04,AAPL,188.3800048828125,Information Technology,-0.9287741109022618
316,2025-04-07,AAPL,181.4600067138672,Information Technology,-1.2150577598651249
317,2025-04-08,AAPL,172.4199981689453,Information Technology,-1.5890472566412688
318,2025-04-09,AAPL,198.8500061035156,Information Technology,-0.4956251300889693
319,2025-04-10,AAPL,190.4199981689453,Information Technology,-0.844378608540033
320,2025-04-11,AAPL,198.1499938964844,Information Technology,-0.5245849714147627
321,2025-04-14,AAPL,202.5200042724609,Information Technology,-0.3437955425888295
322,2025-04-15,AAPL,202.13999938964844,Information Technology,-0.35951652716415344
323,2025-04-16,AAPL,194.2700042724609,Information Technology,-0.6851020063018959
324,2025-04-17,AAPL,196.97999572753903,Information Technology,-0.5729883577897332
325,2025-04-21,AAPL,193.16000366210935,Information Technology,-0.7310232648520095
326,2025-04-22,AAPL,199.7400054931641,Information Technology,-0.45880542773894323
327,2025-04-23,AAPL,204.6000061035156,Information Technology,-0.2577448675010745
328,2025-04-24,AAPL,208.3699951171875,Information Technology,-0.10177861071398739
329,2025-04-25,AAPL,209.27999877929688,Information Technology,-0.06413132200120061
330,2025-04-28,AAPL,210.13999938964844,Information Technology,-0.028552683563604173
331,2025-04-29,AAPL,211.2100067138672,Information Technology,0.015714033524417904
332,2025-04-30,AAPL,212.5,Information Technology,0.06908167554909525
333,2025-05-01,AAPL,213.32000732421875,Information Technology,0.10300577252460016
334,2025-05-02,AAPL,205.3500061035156,Information Technology,-0.226717007163523
335,2025-05-05,AAPL,198.88999938964844,Information Technology,-0.4939705886268766
336,2025-05-06,AAPL,198.50999450683597,Information Technology,-0.5096915732022006
337,2025-05-07,AAPL,196.25,Information Technology,-0.6031886317645205
338,2025-05-08,AAPL,197.4900054931641,Information Technology,-0.5518890087515977
339,2025-05-09,AAPL,198.52999877929688,Information Technology,-0.5088639868394387
340,2025-05-12,AAPL,210.7899932861328,Information Technology,-0.0016621237764333852
341,2025-05-13,AAPL,212.92999267578125,Information Technology,0.08687067913617616
342,2025-05-14,AAPL,212.3300018310547,Information Technology,0.06204876962419573
343,2025-05-15,AAPL,211.4499969482422,Information Technology,0.025642544823836235
344,2025-05-16,AAPL,211.25999450683597,Information Technology,0.01778205253617483
345,2025-05-19,AAPL,208.77999877929688,Information Technology,-0.08481656222623493
346,2025-05-20,AAPL,206.8600006103516,Information Technology,-0.16424780893875343
347,2025-05-21,AAPL,202.08999633789065,Information Technology,-0.36158517743934265
348,2025-05-22,AAPL,201.3600006103516,Information Technology,-0.39178545141413107
349,2025-05-23,AAPL,195.2700042724609,Information Technology,-0.6437315258518272
350,2025-05-27,AAPL,200.2100067138672,Information Technology,-0.43936125142633736
351,2025-05-28,AAPL,200.4199981689453,Information Technology,-0.43067380403934635
352,2025-05-29,AAPL,199.9499969482422,Information Technology,-0.4501179803519534
353,2024-01-02,ABBV,159.82000732421875,Health Care,-1.503529924957594
354,2024-01-03,ABBV,160.4600067138672,Health Care,-1.4582109794705342
355,2024-01-04,ABBV,161.4600067138672,Health Care,-1.3874000596164477
356,2024-01-05,ABBV,162.13999938964844,Health Care,-1.3392491527503358
357,2024-01-08,ABBV,161.42999267578125,Health Care,-1.3895253812618484
358,2024-01-09,ABBV,162.30999755859375,Health Care,-1.3272114260338077
359,2024-01-10,ABBV,164.88999938964844,Health Care,-1.1445191231515979
360,2024-01-11,ABBV,163.77999877929688,Health Care,-1.2231192874091894
361,2024-01-12,ABBV,162.39999389648438,Health Care,-1.3208387025642734
362,2024-01-16,ABBV,161.47999572753906,Health Care,-1.3859846191713663
363,2024-01-17,ABBV,162.0399932861328,Health Care,-1.3463306769313002
364,2024-01-18,ABBV,163.3000030517578,Health Care,-1.257108226402262
365,2024-01-19,ABBV,164.77000427246094,Health Care,-1.1530160877776436
366,2024-01-22,ABBV,165.38999938964844,Health Care,-1.1091136632245546
367,2024-01-23,ABBV,167.5,Health Care,-0.9597025791128766
368,2024-01-24,ABBV,164.22000122070312,Health Care,-1.191962309795169
369,2024-01-25,ABBV,165.1300048828125,Health Care,-1.1275241134106169
370,2024-01-26,ABBV,164.39999389648438,Health Care,-1.1792168628561004
371,2024-01-29,ABBV,163.91000366210938,Health Care,-1.2139135220717137
372,2024-01-30,ABBV,164.9199981689453,Health Care,-1.1423948819950864
373,2024-01-31,ABBV,164.39999389648438,Health Care,-1.1792168628561004
374,2024-02-01,ABBV,167.58999633789062,Health Care,-0.9533298556433423
375,2024-02-02,ABBV,168.6699981689453,Health Care,-0.8768539325422621
